ind,origin,sex,country code
PDOM2022NLD0014M,nijmegen,M,NLD
PDOM2022NLD0016M,nijmegen,M,NLD
PDOM2022NLD0017F,nijmegen,F,NLD
PDOM2022NLD0018F,nijmegen,F,NLD
PDOM2022NLD0020M,nijmegen,M,NLD
PDOM2022NLD0028M,beneden_leeuwen,M,NLD
PDOM2022NLD0029F,beneden_leeuwen,F,NLD
PDOM2022NLD0030M,beneden_leeuwen,M,NLD
PDOM2022NLD0031M,beneden_leeuwen,M,NLD
PDOM2022NLD0032M,beneden_leeuwen,M,NLD
PDOM2022NLD0033M,beneden_leeuwen,M,NLD
PDOM2022NLD0034M,beneden_leeuwen,M,NLD
PDOM2022NLD0036M,beneden_leeuwen,M,NLD
PDOM2022NLD0037F,beneden_leeuwen,F,NLD
PDOM2022NLD0038M,beneden_leeuwen,M,NLD
